_	11,21,22,23,42,51,52,53,54,55,56,61,62,71,72,81,92
11	111,112,113,114,115
111	1111,1112,1113,1114,1119
1111	11111,11112,11113,11114,11115,11116,11119
11111	111110
11112	111120
11113	111130
11114	111140
11115	111150
11116	111160
11119	111191,111199
1112	11121
11121	111211,111219
1113	11131,11132,11133
11131	111310
11132	111320
11133	111331,111332,111333,111334,111335,111336,111339
1114	11141,11142
11141	111411,111419
11142	111421,111422
1119	11191,11192,11193,11194,11199
11191	111910
11192	111920
11193	111930
11194	111940
11199	111991,111992,111998
112	1121,1122,1123,1124,1125,1129
1121	11211,11212,11213
11211	112111,112112
11212	112120
11213	112130
1122	11221
11221	112210
1123	11231,11232,11233,11234,11239
11231	112310
11232	112320
11233	112330
11234	112340
11239	112390
1124	11241,11242
11241	112410
11242	112420
1125	11251
11251	112511,112512,112519
1129	11291,11292,11293,11299
11291	112910
11292	112920
11293	112930
11299	112990
113	1131,1132,1133
1131	11311
11311	113110
1132	11321
11321	113210
1133	11331
11331	113310
114	1141,1142
1141	11411
11411	114111,114112,114119
1142	11421
11421	114210
115	1151,1152,1153
1151	11511
11511	115111,115112,115113,115114,115115,115116
1152	11521
11521	115210
1153	11531
11531	115310
21	211,212,213
211	2111
2111	21112,21113
21112	211120
21113	211130
212	2121,2122,2123
2121	21211
21211	212111,212112,212113
2122	21221,21222,21223,21229
21221	212210
21222	212221,212222
21223	212230
21229	212291,212299
2123	21231,21232,21239
21231	212311,212312,212313,212319
21232	212321,212322,212324,212325
21239	212391,212392,212393,212399
213	2131
2131	21311
21311	213111,213112,213113,213114,213115
22	221
221	2211,2212,2213
2211	22111,22112
22111	221111,221112,221113,221114,221115,221116,221117,221118
22112	221121,221122
2212	22121
22121	221210
2213	22131,22132,22133
22131	221310
22132	221320
22133	221330
23	236,237,238
236	2361,2362
2361	23611
23611	236115,236116,236117,236118
2362	23621,23622
23621	236210
23622	236220
237	2371,2372,2373,2379
2371	23711,23712,23713
23711	237110
23712	237120
23713	237130
2372	23721
23721	237210
2373	23731
23731	237310
2379	23799
23799	237990
238	2381,2382,2383,2389
2381	23811,23812,23813,23814,23815,23816,23817,23819
23811	238110
23812	238120
23813	238130
23814	238140
23815	238150
23816	238160
23817	238170
23819	238190
2382	23821,23822,23829
23821	238210
23822	238220
23829	238290
2383	23831,23832,23833,23834,23835,23839
23831	238310
23832	238320
23833	238330
23834	238340
23835	238350
23839	238390
2389	23891,23899
23891	238910
23899	238990
42	423,424,425
423	4231,4232,4233,4234,4235,4236,4237,4238,4239
4231	42311,42312,42313,42314
42311	423110
42312	423120
42313	423130
42314	423140
4232	42321,42322
42321	423210
42322	423220
4233	42331,42332,42333,42339
42331	423310
42332	423320
42333	423330
42339	423390
4234	42341,42342,42343,42344,42345,42346,42349
42341	423410
42342	423420
42343	423430
42344	423440
42345	423450
42346	423460
42349	423490
4235	42351,42352
42351	423510
42352	423520
4236	42361,42362,42369
42361	423610
42362	423620
42369	423690
4237	42371,42372,42373,42374
42371	423710
42372	423720
42373	423730
42374	423740
4238	42381,42382,42383,42384,42385,42386
42381	423810
42382	423820
42383	423830
42384	423840
42385	423850
42386	423860
4239	42391,42392,42393,42394,42399
42391	423910
42392	423920
42393	423930
42394	423940
42399	423990
424	4241,4242,4243,4244,4245,4246,4247,4248,4249
4241	42411,42412,42413
42411	424110
42412	424120
42413	424130
4242	42421
42421	424210
4243	42431,42432,42433,42434
42431	424310
42432	424320
42433	424330
42434	424340
4244	42441,42442,42443,42444,42445,42446,42447,42448,42449
42441	424410
42442	424420
42443	424430
42444	424440
42445	424450
42446	424460
42447	424470
42448	424480
42449	424490
4245	42451,42452,42459
42451	424510
42452	424520
42459	424590
4246	42461,42469
42461	424610
42469	424690
4247	42471,42472
42471	424710
42472	424720
4248	42481,42482
42481	424810
42482	424820
4249	42491,42492,42493,42494,42495,42499
42491	424910
42492	424920
42493	424930
42494	424940
42495	424950
42499	424990
425	4251
4251	42511,42512
42511	425110
42512	425120
51	511,512,515,517,518,519
511	5111,5112
5111	51111,51112,51113,51114,51119
51111	511110
51112	511120
51113	511130
51114	511140
51119	511191,511199
5112	51121
51121	511210
512	5121,5122
5121	51211,51212,51213,51219
51211	512110
51212	512120
51213	512131,512132
51219	512191,512199
5122	51223,51224,51225,51229
51223	512230
51224	512240
51225	512250
51229	512290
515	5151,5152
5151	51511,51512
51511	515111,515112
51512	515120
5152	51521
51521	515210
517	5173,5174,5179
5173	51731
51731	517311,517312
5174	51741
51741	517410
5179	51791
51791	517911,517919
518	5182
5182	51821
51821	518210
519	5191
5191	51911,51912,51913,51919
51911	519110
51912	519120
51913	519130
51919	519190
52	521,522,523,524,525
521	5211
5211	52111
52111	521110
522	5221,5222,5223
5221	52211,52212,52213,52219
52211	522110
52212	522120
52213	522130
52219	522190
5222	52221,52222,52229
52221	522210
52222	522220
52229	522291,522292,522293,522294,522298
5223	52231,52232,52239
52231	522310
52232	522320
52239	522390
523	5231,5232,5239
5231	52311,52312,52313,52314
52311	523110
52312	523120
52313	523130
52314	523140
5232	52321
52321	523210
5239	52391,52392,52393,52399
52391	523910
52392	523920
52393	523930
52399	523991,523999
524	5241,5242
5241	52411,52412,52413
52411	524113,524114
52412	524126,524127,524128
52413	524130
5242	52421,52429
52421	524210
52429	524291,524292,524298
525	5251,5259
5251	52511,52512,52519
52511	525110
52512	525120
52519	525190
5259	52591,52592,52599
52591	525910
52592	525920
52599	525990
53	531,532,533
531	5311,5312,5313
5311	53111,53112,53113,53119
53111	531110
53112	531120
53113	531130
53119	531190
5312	53121
53121	531210
5313	53131,53132,53139
53131	531311,531312
53132	531320
53139	531390
532	5321,5322,5323,5324
5321	53211,53212
53211	532111,532112
53212	532120
5322	53221,53228
53221	532210
53228	532281,532282,532283,532284,532289
5323	53231
53231	532310
5324	53241,53242,53249
53241	532411,532412
53242	532420
53249	532490
533	5331
5331	53311
53311	533110
54	541
541	5411,5412,5413,5414,5415,5416,5417,5418,5419
5411	54111,54112,54119
54111	541110
54112	541120
54119	541191,541199
5412	54121
54121	541211,541213,541214,541219
5413	54131,54132,54133,54134,54135,54136,54137,54138
54131	541310
54132	541320
54133	541330
54134	541340
54135	541350
54136	541360
54137	541370
54138	541380
5414	54141,54142,54143,54149
54141	541410
54142	541420
54143	541430
54149	541490
5415	54151
54151	541511,541512,541513,541519
5416	54161,54162,54169
54161	541611,541612,541613,541614,541618
54162	541620
54169	541690
5417	54171,54172
54171	541713,541714,541715
54172	541720
5418	54181,54182,54183,54184,54185,54186,54187,54189
54181	541810
54182	541820
54183	541830
54184	541840
54185	541850
54186	541860
54187	541870
54189	541890
5419	54191,54192,54193,54194,54199
54191	541910
54192	541921,541922
54193	541930
54194	541940
54199	541990
55	551
551	5511
5511	55111
55111	551111,551112,551114
56	561,562
561	5611,5612,5613,5614,5615,5616,5617,5619
5611	56111
56111	561110
5612	56121
56121	561210
5613	56131,56132,56133
56131	561311,561312
56132	561320
56133	561330
5614	56141,56142,56143,56144,56145,56149
56141	561410
56142	561421,561422
56143	561431,561439
56144	561440
56145	561450
56149	561491,561492,561499
5615	56151,56152,56159
56151	561510
56152	561520
56159	561591,561599
5616	56161,56162
56161	561611,561612,561613
56162	561621,561622
5617	56171,56172,56173,56174,56179
56171	561710
56172	561720
56173	561730
56174	561740
56179	561790
5619	56191,56192,56199
56191	561910
56192	561920
56199	561990
562	5621,5622,5629
5621	56211
56211	562111,562112,562119
5622	56221
56221	562211,562212,562213,562219
5629	56291,56292,56299
56291	562910
56292	562920
56299	562991,562998
61	611
611	6111,6112,6113,6114,6115,6116,6117
6111	61111
61111	611110
6112	61121
61121	611210
6113	61131
61131	611310
6114	61141,61142,61143
61141	611410
61142	611420
61143	611430
6115	61151
61151	611511,611512,611513,611519
6116	61161,61162,61163,61169
61161	611610
61162	611620
61163	611630
61169	611691,611692,611699
6117	61171
61171	611710
62	621,622,623,624
621	6211,6212,6213,6214,6215,6216,6219
6211	62111
62111	621111,621112
6212	62121
62121	621210
6213	62131,62132,62133,62134,62139
62131	621310
62132	621320
62133	621330
62134	621340
62139	621391,621399
6214	62141,62142,62149
62141	621410
62142	621420
62149	621491,621492,621493,621498
6215	62151
62151	621511,621512
6216	62161
62161	621610
6219	62191,62199
62191	621910
62199	621991,621999
622	6221,6222,6223
6221	62211
62211	622110
6222	62221
62221	622210
6223	62231
62231	622310
623	6231,6232,6233,6239
6231	62311
62311	623110
6232	62321,62322
62321	623210
62322	623220
6233	62331
62331	623311,623312
6239	62399
62399	623990
624	6241,6242,6243,6244
6241	62411,62412,62419
62411	624110
62412	624120
62419	624190
6242	62421,62422,62423
62421	624210
62422	624221,624229
62423	624230
6243	62431
62431	624310
6244	62441
62441	624410
71	711,712,713
711	7111,7112,7113,7114,7115
7111	71111,71112,71113,71119
71111	711110
71112	711120
71113	711130
71119	711190
7112	71121
71121	711211,711212,711219
7113	71131,71132
71131	711310
71132	711320
7114	71141
71141	711410
7115	71151
71151	711510
712	7121
7121	71211,71212,71213,71219
71211	712110
71212	712120
71213	712130
71219	712190
713	7131,7132,7139
7131	71311,71312
71311	713110
71312	713120
7132	71321,71329
71321	713210
71329	713290
7139	71391,71392,71393,71394,71395,71399
71391	713910
71392	713920
71393	713930
71394	713940
71395	713950
71399	713990
72	721,722
721	7211,7212,7213
7211	72111,72112,72119
72111	721110
72112	721120
72119	721191,721199
7212	72121
72121	721211,721214
7213	72131
72131	721310
722	7223,7224,7225
7223	72231,72232,72233
72231	722310
72232	722320
72233	722330
7224	72241
72241	722410
7225	72251
72251	722511,722513,722514,722515
81	811,812,813,814
811	8111,8112,8113,8114
8111	81111,81112,81119
81111	811111,811112,811113,811118
81112	811121,811122
81119	811191,811192,811198
8112	81121
81121	811211,811212,811213,811219
8113	81131
81131	811310
8114	81141,81142,81143,81149
81141	811411,811412
81142	811420
81143	811430
81149	811490
812	8121,8122,8123,8129
8121	81211,81219
81211	812111,812112,812113
81219	812191,812199
8122	81221,81222
81221	812210
81222	812220
8123	81231,81232,81233
81231	812310
81232	812320
81233	812331,812332
8129	81291,81292,81293,81299
81291	812910
81292	812921,812922
81293	812930
81299	812990
813	8131,8132,8133,8134,8139
8131	81311
81311	813110
8132	81321
81321	813211,813212,813219
8133	81331
81331	813311,813312,813319
8134	81341
81341	813410
8139	81391,81392,81393,81394,81399
81391	813910
81392	813920
81393	813930
81394	813940
81399	813990
814	8141
8141	81411
81411	814110
92	921,922,923,924,925,926,927,928
921	9211
9211	92111,92112,92113,92114,92115,92119
92111	921110
92112	921120
92113	921130
92114	921140
92115	921150
92119	921190
922	9221
9221	92211,92212,92213,92214,92215,92216,92219
92211	922110
92212	922120
92213	922130
92214	922140
92215	922150
92216	922160
92219	922190
923	9231
9231	92311,92312,92313,92314
92311	923110
92312	923120
92313	923130
92314	923140
924	9241
9241	92411,92412
92411	924110
92412	924120
925	9251
9251	92511,92512
92511	925110
92512	925120
926	9261
9261	92611,92612,92613,92614,92615
92611	926110
92612	926120
92613	926130
92614	926140
92615	926150
927	9271
9271	92711
92711	927110
928	9281
9281	92811,92812
92811	928110
92812	928120
